Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
22.356,54.41,0,408,12597,19685,939.809,0,0,0,0,0,178,0
22.368,53.84,1,410,12587,19681,939.803,0,0,0,0,0,179,0
22.38,53.38,0,402,12598,19689,939.81,0,0,0,0,0,180,0
22.392,51.95,4,413,12591,19675,939.809,0,0,0,0,0,181,0
22.403,51.66,0,400,12594,19682,939.81,0,0,0,0,0,182,0
22.415,51.38,2,409,12594,19693,939.814,0,0,0,0,0,183,0
22.427,51.19,1,405,12592,19678,939.815,0,0,0,0,0,184,0
22.438,50.83,12,400,12596,19688,939.806,0,0,0,0,0,185,0
22.45,50.65,1,401,12598,19680,939.798,0,0,0,0,0,186,0
22.462,50.49,12,412,12594,19680,939.804,0,0,0,0,0,187,0
22.473,50.36,1,407,12592,19674,939.806,0,0,0,0,0,188,0
22.485,50.2,13,409,12596,19677,939.801,0,0,0,0,0,189,0
22.497,50.09,2,405,12596,19681,939.803,0,0,0,0,0,190,0
22.508,49.96,15,403,12593,19681,939.806,0,0,0,0,0,191,0
22.52,49.89,3,402,12600,19679,939.81,0.82,2.08,2.51,2.349,1.216,192,0
22.531,49.78,12,409,12596,19677,939.807,0.81,2.06,2.49,2.326,1.204,193,0
22.543,49.71,1,400,12597,19676,939.813,0.77,1.97,2.38,2.226,1.153,194,0
22.554,49.63,6,401,12594,19673,939.81,0.75,1.91,2.31,2.158,1.117,195,0
22.566,49.57,0,402,12596,19684,939.803,0.69,1.57,2.64,1.765,0.844,196,0
22.577,49.52,8,402,12596,19677,939.806,0.67,1.52,2.55,1.703,0.814,197,0
22.589,49.43,8,405,12595,19676,939.812,0.62,1.39,2.34,1.563,0.748,198,0
22.6,49.23,34,440,12576,19646,939.813,0.59,1.33,2.23,1.49,0.713,199,0
22.612,49.5,27,440,12577,19649,939.815,0.53,1.2,2.01,1.341,0.642,200,0
22.623,50.05,44,444,12574,19638,939.811,0.5,1.13,1.89,1.267,0.606,201,0
22.634,50.61,27,429,12582,19656,939.812,0.44,1,1.68,1.124,0.538,202,0
22.646,51.18,39,449,12576,19651,939.802,0.42,0.94,1.58,1.056,0.505,203,0
22.657,51.74,22,422,12588,19664,939.802,0.39,0.88,1.48,0.99,0.474,204,0
22.669,52.22,22,416,12582,19652,939.813,0.34,0.77,1.3,0.866,0.414,205,0
22.68,52.7,28,424,12582,19650,939.804,0.32,0.72,1.21,0.809,0.387,206,0
22.691,53.13,24,418,12591,19660,939.807,0.28,0.63,1.05,0.702,0.336,207,0
22.703,53.51,29,419,12581,19652,939.8,0.26,0.58,0.98,0.653,0.312,208,0
22.714,54.1,32,411,12591,19654,939.806,0.21,0.47,0.78,0.522,0.25,209,0
22.725,54.45,18,400,12593,19669,939.806,0.18,0.4,0.67,0.448,0.214,210,0
22.736,54.71,20,409,12596,19655,939.809,0.16,0.37,0.62,0.414,0.198,211,0
22.748,54.87,23,404,12591,19672,939.801,0.14,0.32,0.53,0.353,0.169,212,0
22.759,55.24,17,400,12596,19669,939.793,0.12,0.26,0.54,0.285,0.125,213,0
22.77,55.5,19,401,12595,19681,939.795,0.12,0.24,0.51,0.27,0.119,214,0
22.781,55.66,8,400,12601,19672,939.801,0.11,0.23,0.5,0.261,0.115,215,0
22.793,55.84,10,400,12602,19683,939.791,0.11,0.22,0.46,0.24,0.106,216,0
22.804,55.94,17,400,12601,19678,939.791,0.1,0.21,0.44,0.229,0.101,217,0
22.815,56.1,13,400,12600,19677,939.788,0.09,0.19,0.39,0.207,0.091,218,0
22.826,56.19,8,400,12601,19677,939.787,0.09,0.18,0.37,0.196,0.086,219,0
22.837,56.29,4,400,12600,19672,939.795,0.08,0.16,0.33,0.174,0.077,220,0
22.848,56.39,11,400,12608,19674,939.79,0.07,0.15,0.31,0.163,0.072,221,0
22.859,56.51,20,400,12608,19669,939.784,0.06,0.13,0.27,0.144,0.063,222,0
22.87,56.6,7,400,12608,19682,939.778,0.06,0.12,0.26,0.134,0.059,223,0
22.881,56.71,8,400,12605,19673,939.786,0.05,0.11,0.22,0.117,0.052,224,0
22.892,56.75,10,400,12610,19673,939.8,0.06,0.1,0.26,0.115,0.047,225,0
22.904,56.85,10,400,12608,19674,939.79,0.06,0.11,0.28,0.121,0.049,226,0
22.915,57.07,0,400,12628,19703,939.804,0.06,0.11,0.29,0.127,0.051,227,0
22.926,56.85,0,400,12631,19709,939.808,0.06,0.11,0.29,0.127,0.051,228,0
22.937,56.27,0,400,12636,19703,939.811,0.06,0.11,0.28,0.123,0.05,229,0
22.947,55.58,0,400,12630,19701,939.812,0.06,0.11,0.28,0.121,0.049,230,0
22.958,54.37,10,400,12629,19698,939.804,0.05,0.1,0.25,0.108,0.044,231,0
22.969,53.86,10,400,12624,19699,939.807,0.05,0.09,0.23,0.099,0.04,232,0
22.98,53.35,7,400,12632,19701,939.825,0.05,0.08,0.21,0.094,0.038,233,0
22.991,52.9,4,400,12629,19697,939.82,0.04,0.08,0.19,0.084,0.034,234,0
23.002,52.52,4,400,12630,19701,939.815,0.04,0.07,0.18,0.079,0.032,235,0
23.013,52.15,3,400,12630,19712,939.804,0.05,0.08,0.24,0.092,0.034,236,0
23.024,51.86,7,400,12628,19698,939.808,0.06,0.1,0.32,0.114,0.041,237,0
23.035,51.58,2,400,12622,19693,939.807,0.07,0.12,0.36,0.131,0.047,238,0
23.045,51.37,3,400,12626,19690,939.817,0.08,0.14,0.42,0.151,0.055,239,0
23.056,51.11,1,400,12626,19698,939.81,0.08,0.14,0.43,0.156,0.056,240,0
23.067,50.96,2,400,12631,19698,939.802,0.1,0.18,0.48,0.201,0.079,241,0
23.078,50.77,0,400,12633,19706,939.814,0.1,0.19,0.51,0.209,0.082,242,0
23.089,50.62,0,400,12630,19711,939.813,0.11,0.2,0.52,0.216,0.085,243,0
23.099,50.44,0,400,12630,19708,939.807,0.11,0.2,0.52,0.215,0.085,244,0
23.11,50.31,1,400,12633,19704,939.816,0.1,0.19,0.5,0.208,0.082,245,0
23.121,50.19,12,400,12629,19689,939.808,0.1,0.18,0.49,0.203,0.08,246,0
23.131,50.08,5,400,12633,19696,939.813,0.09,0.17,0.46,0.189,0.074,247,0
23.142,50,0,400,12629,19704,939.79,0.1,0.17,0.49,0.189,0.072,248,0
23.153,49.85,12,400,12630,19698,939.791,0.1,0.18,0.5,0.195,0.074,249,0
23.163,49.71,11,400,12637,19710,939.812,0.1,0.17,0.49,0.192,0.073,250,0
23.174,49.66,14,400,12635,19696,939.8,0.09,0.17,0.47,0.183,0.069,251,0
23.185,49.6,0,400,12641,19707,939.808,0.09,0.16,0.46,0.177,0.067,252,0
23.195,49.53,14,400,12630,19703,939.801,0.09,0.16,0.46,0.18,0.068,253,0
23.206,49.45,1,400,12642,19698,939.805,0.09,0.17,0.47,0.185,0.07,254,0
23.216,49.31,33,400,12616,19686,939.811,0.09,0.17,0.48,0.187,0.071,255,0
23.227,49.97,37,400,12613,19678,939.817,0.09,0.16,0.45,0.176,0.067,256,0
23.238,50.61,51,400,12609,19660,939.821,0.09,0.16,0.44,0.171,0.065,257,0
23.248,51.19,44,400,12615,19674,939.827,0.09,0.16,0.49,0.175,0.062,258,0
23.259,51.75,37,400,12622,19674,939.821,0.1,0.17,0.55,0.182,0.061,259,0
23.269,52.63,40,400,12622,19679,939.825,0.11,0.19,0.62,0.204,0.068,260,0
23.28,53.07,39,400,12624,19676,939.822,0.12,0.19,0.62,0.205,0.069,261,0
23.29,53.48,34,400,12624,19685,939.816,0.11,0.18,0.61,0.201,0.067,262,0
23.3,53.84,19,400,12623,19681,939.821,0.11,0.18,0.6,0.196,0.066,263,0
23.311,54.17,31,400,12627,19676,939.804,0.11,0.19,0.58,0.21,0.076,264,0
23.321,54.43,31,400,12632,19698,939.798,0.11,0.2,0.59,0.214,0.077,265,0
23.332,54.71,12,400,12631,19698,939.807,0.11,0.2,0.59,0.214,0.077,266,0
23.342,54.92,9,400,12633,19698,939.791,0.12,0.22,0.6,0.239,0.092,267,0
23.353,55.14,15,400,12632,19697,939.802,0.13,0.23,0.63,0.25,0.096,268,0
23.363,55.36,18,400,12636,19697,939.8,0.13,0.23,0.69,0.254,0.093,269,0
23.373,55.55,22,400,12637,19694,939.797,0.15,0.26,0.82,0.284,0.099,270,0
23.384,55.74,9,400,12639,19705,939.796,0.16,0.27,0.85,0.294,0.103,271,0
23.394,55.89,18,400,12634,19701,939.789,0.16,0.27,0.87,0.301,0.105,272,0
23.404,56,2,400,12640,19704,939.803,0.16,0.27,0.86,0.299,0.104,273,0
23.414,56.17,11,400,12640,19697,939.794,0.16,0.27,0.85,0.295,0.103,274,0
23.425,56.27,16,400,12640,19699,939.806,0.17,0.27,0.9,0.295,0.098,275,0
23.435,56.37,5,400,12641,19699,939.799,0.17,0.27,0.9,0.294,0.098,276,0
23.445,56.48,13,400,12641,19704,939.803,0.16,0.26,0.87,0.285,0.095,277,0
23.455,56.57,2,400,12637,19695,939.793,0.16,0.25,0.85,0.278,0.093,278,0
23.466,56.66,2,400,12645,19709,939.783,0.15,0.24,0.85,0.264,0.085,279,0
23.476,56.77,13,400,12641,19701,939.784,0.16,0.25,0.9,0.272,0.084,280,0
23.486,56.81,4,400,12646,19710,939.773,0.18,0.28,1.02,0.302,0.091,281,0
23.496,56.85,6,400,12639,19698,939.767,0.19,0.29,1.05,0.31,0.094,282,0
23.506,57.1,0,400,12662,19731,939.781,0.2,0.3,1.11,0.321,0.095,283,0
23.516,56.91,0,400,12663,19717,939.784,0.2,0.3,1.14,0.327,0.097,284,0
23.526,56.32,0,400,12674,19744,939.781,0.21,0.32,1.21,0.352,0.105,285,0
23.537,55.64,0,400,12665,19728,939.779,0.22,0.33,1.23,0.356,0.106,286,0
23.547,54.43,3,400,12664,19723,939.785,0.21,0.32,1.18,0.344,0.102,287,0
23.557,53.91,10,400,12667,19725,939.773,0.2,0.31,1.15,0.335,0.099,288,0
23.567,53.4,1,400,12662,19726,939.774,0.19,0.29,1.08,0.312,0.093,289,0
23.577,52.96,9,400,12661,19719,939.773,0.18,0.28,1.03,0.299,0.089,290,0
23.587,52.56,17,400,12661,19715,939.786,0.17,0.25,0.94,0.272,0.081,291,0
23.597,52.25,10,400,12657,19717,939.795,0.16,0.24,0.89,0.259,0.077,292,0
23.607,51.91,10,400,12664,19721,939.795,0.14,0.21,0.8,0.231,0.069,293,0
23.617,51.63,7,400,12658,19712,939.806,0.13,0.2,0.75,0.218,0.065,294,0
23.627,51.38,6,400,12666,19729,939.799,0.12,0.18,0.66,0.192,0.057,295,0
23.637,51.16,13,400,12662,19718,939.785,0.11,0.17,0.62,0.18,0.054,296,0
23.646,50.96,11,400,12669,19713,939.79,0.1,0.15,0.54,0.158,0.047,297,0
23.656,50.8,13,400,12661,19714,939.784,0.09,0.14,0.51,0.147,0.044,298,0
23.666,50.63,1,400,12665,19722,939.787,0.08,0.12,0.44,0.128,0.038,299,0
23.676,50.51,2,400,12667,19729,939.789,0.07,0.11,0.41,0.119,0.035,300,0
23.686,50.4,3,400,12668,19726,939.793,0.06,0.09,0.35,0.102,0.03,301,0
23.696,50.17,10,400,12668,19728,939.788,0.06,0.09,0.35,0.098,0.028,302,0
23.706,50.08,6,400,12665,19728,939.785,0.06,0.1,0.37,0.103,0.029,303,0
23.716,49.88,4,400,12670,19728,939.791,0.06,0.09,0.36,0.101,0.029,304,0
23.725,49.81,4,400,12672,19729,939.802,0.06,0.09,0.35,0.099,0.028,305,0
23.735,49.74,9,400,12672,19729,939.794,0.06,0.09,0.33,0.093,0.026,306,0
23.745,49.67,8,400,12670,19718,939.806,0.06,0.08,0.32,0.089,0.025,307,0
23.755,49.61,7,400,12669,19721,939.798,0.05,0.08,0.31,0.085,0.024,308,0
23.764,49.54,11,400,12668,19712,939.784,0.06,0.08,0.32,0.088,0.024,309,0
23.774,49.35,35,400,12653,19696,939.782,0.06,0.09,0.35,0.093,0.026,310,0
23.784,49.59,32,400,12648,19691,939.784,0.06,0.09,0.37,0.099,0.027,311,0
23.793,50.13,39,400,12649,19694,939.781,0.06,0.09,0.37,0.099,0.027,312,0
